Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2007-01-08
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-01-08;null;null;null;null;null;null;null;null;null;null;
2007-01-09;null;null;null;null;null;null;null;null;null;null;
2007-01-10;null;null;null;null;null;null;72;51;8,2;null;
2007-01-11;,2;1004,5;23;30,7;25,8;22,8;85,1;65;8,8;2,4;
2007-01-12;0;1003,4;21;31,6;26,1;22,6;76,3;39;10,6;2,8;
2007-01-13;0;1000,8;16,2;35;26,1;19,3;63;20;18,5;4,4;
2007-01-14;0;1008,6;9,8;24,7;19,1;12,1;57,3;34;15,2;3,9;
2007-01-15;0;1010,4;11,2;29,4;19,6;11,6;64,4;23;14,4;3,2;
2007-01-16;0;1014,2;9,7;27,8;19;10,4;61,2;25;7;1,5;
2007-01-17;0;1005,5;12,1;33,1;23;15;56,8;17;8,3;2,8;
2007-01-18;,2;1001;16,8;32,7;24,9;19;63,7;34;9,3;3,7;
2007-01-19;0;1005,6;18,8;26,3;22,1;20,4;82;63;10,5;2,7;
2007-01-20;4,6;1012,2;16,4;24,4;19,8;17,2;82;51;9,3;2,2;
2007-01-21;2,4;1016,4;13,3;25,9;19,7;13,6;70,2;32;9,8;2,1;
2007-01-22;0;1012,7;15,1;29,3;21,8;15,4;68,1;43;13,5;3,8;
2007-01-23;0;1006,5;19,2;35,3;25,7;18,9;69,6;36;11,2;3,2;
2007-01-24;0;1005,3;21,2;36,8;28;23,2;69,3;33;10,1;2,3;
2007-01-25;0;1007,3;21,9;32,1;26,3;22,7;78,2;55;10,8;2,5;
2007-01-26;0;1006,1;21,9;30,7;25,5;23,3;81,3;56;9,3;3,2;
2007-01-27;0;1003,6;20,9;37,1;26,9;21,3;74;30;14;3,7;
2007-01-28;0;1008,2;17,8;29,4;23,3;19,5;72,8;48;10,3;3,8;
2007-01-29;0;1009,9;16,5;27,2;22,7;20,1;68,2;55;10,4;2,8;
2007-01-30;0;1010,6;16,5;29,5;23,3;17,3;67,4;36;9,5;1,9;
2007-01-31;0;1009,8;15,5;31,3;22,9;14,7;68,3;32;7,6;1,5;
2007-02-01;,2;1009,5;17,5;33,8;25,3;18,2;66,3;33;12,4;3,1;
2007-02-02;0;1009,3;16,4;35,4;26,3;17,7;61,3;25;8,1;2;
2007-02-03;0;1006,7;15,9;37,4;28,1;19,7;51,2;21;11;2,6;
2007-02-04;0;1004,4;17,4;34,8;26,3;18,6;61,2;17;15,4;3,4;
2007-02-05;37,4;1001,4;20,4;29,8;22,8;20,3;87,3;60;12,6;2,7;
2007-02-06;23;996,8;19,7;30,6;24,3;19,6;77,4;49;13,8;4,5;
2007-02-07;,4;1007,4;15,6;27,4;22,4;19,2;68,6;35;20,2;3,8;
2007-02-08;0;1015,3;14,5;30,3;21,7;13,7;68,5;26;9,9;1,9;
2007-02-09;,2;1016;16,5;31,1;24;17,5;67,1;27;13,2;3,5;
2007-02-10;0;1013,6;18,3;29,4;23,2;18,1;75,2;51;9,8;2,8;
2007-02-11;7,6;1016,4;16,4;26,5;21,8;18,7;72,8;45;11,9;2,9;
2007-02-12;0;1015,2;13,2;26;20,1;13;66,8;40;11,1;2,2;
2007-02-13;0;1010,5;16,6;28,4;22;15,5;73,2;50;12,5;3,2;
2007-02-14;0;1007,3;18,8;30,7;23,9;18,7;74,8;43;10,3;3,3;
2007-02-15;0;1005,8;19,5;30,7;24,5;19,8;75,6;46;10,5;3,9;
2007-02-16;0;1001,9;19,7;36;26,9;20,6;68,3;34;12,1;3,5;
2007-02-17;13,4;997,7;21,5;28,6;24,3;22;85,1;60;14,5;3,5;
2007-02-18;4,8;1007,8;12,8;24,9;19;14;69,3;39;12,2;4,8;
2007-02-19;0;1012,8;13,9;26;18,8;11,4;75,4;52;8,4;1,8;
2007-02-20;0;1013,3;15,9;26,7;21;15,8;74,8;46;10,7;2,2;
2007-02-21;0;1012,7;17,9;27,7;22,2;16,7;77,2;62;14,3;3,3;
2007-02-22;0;1009,6;21,5;29,6;24,7;22,8;82,8;60;18,6;3,3;
2007-02-23;1,8;1011,3;20,4;28,4;22,9;19,3;86,5;65;12,1;1,8;
2007-02-24;17;1008,1;20,8;30,2;24,4;21;82,3;55;8,9;2,5;
2007-02-25;0;1008,1;20;32,9;25,7;18,9;74;37;7,2;2,1;
2007-02-26;0;1007,5;21,4;33,7;26,8;20,8;74,5;47;7,8;2,2;
2007-02-27;0;1004,2;20,3;35,3;26,5;20,9;73,3;35;15,2;3,7;
2007-02-28;14,2;1005,2;21,3;29;23,7;20;87,2;63;6,3;1,9;
2007-03-01;0;1001,9;22;34;26,7;22,4;78,1;49;19,1;4;
2007-03-02;61,2;1011,1;18;22,2;19,9;19,2;88,8;72;11,6;2,7;
2007-03-03;6,4;1018,4;15,3;24,1;21,1;19,1;69,7;59;13,5;4,1;
2007-03-04;,6;1010,4;20,5;30,4;24;20,6;81,1;63;10,6;3,3;
2007-03-05;0;1007,7;20,9;28,5;24,1;20,4;83;61;7,1;2,9;
2007-03-06;0;1011,5;21,5;29,3;23,4;19;89,5;68;6,4;1,4;
2007-03-07;5,6;1013,9;22,8;27,9;24,8;22,9;89;75;10,1;2,8;
2007-03-08;14;1005,6;21,7;34,1;26,2;20;78,4;44;13,9;3,1;
2007-03-09;28,6;1003,3;19,2;28,8;21,8;19,3;86;65;23,6;4,4;
2007-03-10;0;1007,7;15;27,2;21;16,1;71,4;39;12,2;3,8;
2007-03-11;0;1011,1;14,5;26;19,4;13,9;76;46;7,8;2,3;
2007-03-12;0;1011,1;15,7;28,6;21,1;14,4;74;40;5,6;1,6;
2007-03-13;0;1011,9;17,9;28,3;21,6;15,2;81,3;52;8,7;1,8;
2007-03-14;0;1008,8;21,7;31;25,4;21,1;81,5;57;11,3;3,2;
2007-03-15;,2;1004,4;20,4;28,4;23,9;19,6;81,5;58;10,2;3,5;
2007-03-16;0;1011,4;18,2;26,7;21,5;16,9;82,5;57;10,3;2,8;
2007-03-17;0;1012,8;15,4;25,1;21,1;17,7;70,7;49;10,6;2,8;
2007-03-18;50,2;1010,3;18,5;23,4;20,1;17,9;90,6;68;11,5;2,8;
2007-03-19;8;1011,8;18,1;25,9;21,7;18,7;81,1;59;8,7;2,7;
2007-03-20;0;1011,6;17,9;26,3;21,7;18,9;80,3;54;7,3;1,7;
2007-03-21;,4;1010,8;17,4;29;20,6;15,1;84,3;48;7,7;1,4;
2007-03-22;0;1009,9;19,6;28,9;22,9;17,8;82,5;60;8,8;2,3;
2007-03-23;0;1009,4;20,4;32;24;19,8;82;50;11,5;2,8;
2007-03-24;0;1014,5;16,2;25,3;20,5;16,3;78,1;52;7,8;2,4;
2007-03-25;0;1012,6;17,6;27;21,2;16,2;81,1;60;8,9;2;
2007-03-26;0;1008,9;19,9;24;21,4;20,3;91;77;6,3;1,9;
2007-03-27;10;1008,3;19,3;23,4;20,6;19,5;92,3;82;9,2;2,5;
2007-03-28;25;1010,8;20,1;26,6;21,9;18,9;90;73;9,8;2,4;
2007-03-29;1;1009,7;22,2;28,7;24,2;21,1;89;75;9;2,9;
2007-03-30;,2;1005,3;22,8;34,9;26,7;23,5;81,8;48;22,6;3,5;
2007-03-31;7;1009;20,4;25,3;21,8;20,4;92;76;8,7;1,9;
2007-04-01;2,8;1013,6;17,9;25,1;22;20,4;77,8;64;9;2,9;
2007-04-02;0;1009,7;19,8;24,1;21,4;19,1;90,5;83;8,3;2,1;
2007-04-03;30,8;1008,8;19,2;26,9;21,7;17,8;86,9;61;19,9;2,3;
2007-04-04;,2;1012,5;16,7;25,4;20,6;16,8;80,5;46;7,9;1,7;
2007-04-05;0;1015,8;15,9;25,1;19,6;15,5;80,8;53;8;1,4;
2007-04-06;0;1015,4;15,7;25,8;20,5;15,8;75,1;52;12,3;2,8;
2007-04-07;0;1009,5;17,9;25,2;20,8;18,6;84;69;10,9;2,5;
2007-04-08;10,8;1006,7;18;22,5;19,7;18,5;90;76;15,5;4,4;
2007-04-09;4;1011,9;14,1;22,7;17,7;12,6;81,2;56;10,8;2,6;
2007-04-10;,2;1010,5;13,4;25,5;18,1;11,2;76,5;46;7,9;1,4;
2007-04-11;0;1008,3;16,6;29,1;20,9;14,4;78,6;47;12,8;3,1;
2007-04-12;9;1013,5;11,3;21,8;17,6;12,8;70,4;33;10,9;3,9;
2007-04-13;0;1016,6;8,7;23,5;15,3;7;68,1;32;8,9;2,2;
2007-04-14;0;1011,5;17;28,1;20,8;13,3;79,5;58;10,8;3,7;
2007-04-15;0;1013,5;18,5;26,4;21,3;17,9;84,9;62;5;1,1;
2007-04-16;0;1015,6;18,9;25,3;21,2;17,5;87,5;68;5,9;1,1;
2007-04-17;0;1012,1;19,5;28,5;22,9;19,2;82,5;56;8,1;2,1;
2007-04-18;,2;1011,8;20,2;29,1;22,8;18,1;86,5;59;6,4;1,9;
2007-04-19;0;1011,6;20,2;31,6;24,6;20;79;51;9,1;3,1;
2007-04-20;0;1011,3;20,4;31,4;24,5;18,9;79,5;53;8,8;1,9;
2007-04-21;,4;1013;19,5;25,4;20,5;21,2;94;80;9;2,6;
2007-04-22;4;1010,9;20,6;29;23,1;18;86,7;67;10,3;2,6;
2007-04-23;0;1007,9;19,6;26,5;22,2;18,9;85,5;66;8,9;2,1;
2007-04-24;18,2;1007,8;19;22,3;20;18,7;94,1;84;9,5;1,5;
2007-04-25;6,2;1008,7;15,5;20,6;18,5;17,3;83,1;70;9,1;3,1;
2007-04-26;8;1010,5;10,7;19,4;14,9;12,6;78;47;13,3;5,1;
2007-04-27;0;1020,1;7,6;18;12,2;7,7;75,8;46;10,3;3,2;
2007-04-28;0;1023,6;9;20,5;12,4;6,2;81,4;51;6,4;1,2;
2007-04-29;,2;1018,6;12,3;22,8;15,1;8,6;85,1;52;5,1;,7;
2007-04-30;,4;1014,2;12,8;24,8;16,4;9,8;82,5;44;6,7;1,2;
2007-05-01;0;1009,6;14,6;25;16,9;11,8;87,1;67;9,7;2;
2007-05-02;10,2;1010,9;16,6;22,3;18,2;15,1;91,2;71;9,3;1,8;
2007-05-03;,2;1017,1;16,5;23,5;18,9;15,9;87;64;12,4;2,8;
2007-05-04;5,2;1011,7;16,5;19,3;17,9;16,4;91,6;84;15,5;4,9;
2007-05-05;127;1008,4;17,3;19,2;18,3;17,8;94,2;87;22;5,3;
2007-05-06;104,4;1005,4;16,2;18,7;17,1;16,4;94,3;86;13,7;3,4;
2007-05-07;16,8;1012,6;8,9;16,3;12,7;11,2;78,3;54;11,3;4,8;
2007-05-08;0;1017,3;5;15,4;9,4;5,1;75,7;46;16,1;5,5;
2007-05-09;0;1025,1;5,9;15,3;9,9;6,4;77,6;54;10,7;4,8;
2007-05-10;0;1024,7;8,7;18,1;10,9;4,8;86,9;66;6,9;1,2;
2007-05-11;0;1017,8;11,7;22,1;14,9;8,7;82,6;53;7,2;1,6;
2007-05-12;0;1019,5;8,4;16,8;12,3;8,3;79,1;43;10,5;3,1;
2007-05-13;0;1018,9;8,8;16;10,3;4,5;91;74;6,2;1,2;
2007-05-14;,4;1017,7;10,5;19,6;12,6;7,2;89;56;5,5;,9;
2007-05-15;,2;1013,7;10,9;20,1;13,4;6,5;86,2;57;12;1,9;
2007-05-16;0;1008,3;10,5;18,4;14,6;11;78,3;37;10;3,8;
2007-05-17;0;1015,6;4,3;15,3;8,6;3,1;76,3;48;6;1,6;
2007-05-18;0;1018,6;4,1;17,7;9,1;2,2;74,5;33;4,5;1;
2007-05-19;0;1019,2;5,5;19,3;10,8;4,1;72,7;33;4,6;1,1;
2007-05-20;0;1015,1;8,5;20;11,6;2,7;81,9;67;7,5;2,1;
2007-05-21;,2;1008,3;12,6;15;13;8;98,1;93;6,4;1,3;
2007-05-22;3,8;1006,4;12,3;17,8;13,7;11,2;91,8;66;7,2;2,3;
2007-05-23;0;1010,5;6,9;14,5;9,6;6,8;83,7;57;14,3;4,6;
2007-05-24;1,6;1018,4;5;14,8;8,3;4,1;81;54;8,6;3,4;
2007-05-25;0;1018;5,5;16,4;9;4;80,2;52;6,2;1,6;
2007-05-26;0;1013,9;5,5;16,2;9,2;3,3;79,5;50;7,4;1,6;
2007-05-27;,2;1014,4;6,2;15,2;8,6;3,3;86,2;49;7,9;1,6;
2007-05-28;0;1017;2,6;11,7;6,4;2,8;77,9;49;12,6;4,6;
2007-05-29;0;1019,5;4,2;14,2;7;2,5;82,8;61;14,5;5,7;
2007-05-30;,2;1024,7;6,6;14,7;8,7;3,2;87,2;65;8,4;2,4;
2007-05-31;,2;1017,9;7,1;18,6;10,1;2,9;84,1;48;10,2;1,7;
2007-06-01;0;1009,9;7,6;15,9;11,3;8,5;78,8;45;9,7;2,8;
2007-06-02;0;1010,1;4,3;17;10,1;4,7;70,5;39;14,3;4,5;
2007-06-03;0;1010,1;3,8;18,4;11,9;6,6;59,8;31;17;6;
2007-06-04;0;1013,7;5,1;18,9;11,4;5,1;67,4;37;7,8;2,6;
2007-06-05;0;1013,8;6;20,6;12,2;5,4;68,6;39;7,8;2,5;
2007-06-06;0;1012,5;7,2;19,7;12,1;6,7;73,6;46;4,6;1,6;
2007-06-07;0;1012,9;6,9;17;8,8;2,5;89,2;59;4,1;,7;
2007-06-08;,4;1014,4;8;11,4;8,5;5,3;97;85;7,6;1,6;
2007-06-09;17,2;1008,2;13,7;18,9;14,9;6,8;92,6;85;14;3,3;
2007-06-10;0;1010;12,1;17,3;14;12,2;88,8;66;7,2;1,9;
2007-06-11;,4;1008,4;11,9;14;12,3;9,3;97,3;94;6,1;1,4;
2007-06-12;3,2;1009,1;14,4;17,2;14,9;12,3;96,6;88;5,9;1,7;
2007-06-13;11,8;1005;15,2;17,4;15,6;13,8;97,8;96;10,5;1,8;
2007-06-14;3;1009;11,8;15,8;13,5;12,4;89,9;74;9,3;3,1;
2007-06-15;64,8;1005,4;11;14,4;12,1;11,9;93,5;78;20;6,4;
2007-06-16;2,4;1017,7;4,2;11,8;7,5;3,3;80,8;62;13,7;3,5;
2007-06-17;0;1015,3;4,8;12,9;6,6;1,9;89,2;64;5,1;,9;
2007-06-18;,2;1018,1;4,5;12,7;7,1;3;84,8;58;6,3;1,4;
2007-06-19;,4;1014,3;9,9;14,5;11,1;5,1;92,6;81;8,7;2,1;
2007-06-20;2,8;1008,1;15,1;24;17,3;10,8;87,7;72;6,7;2,2;
2007-06-21;,6;1011,8;14,2;22,8;15,9;14,2;90,6;71;12;3;
2007-06-22;26,2;1005,2;15,2;27,3;18,9;12,3;82,2;51;11,8;2,1;
2007-06-23;9,4;1005,1;12,2;23,7;16;14,2;79,1;59;10,8;4,5;
2007-06-24;0;1018,8;,3;10,9;7,2;4,6;62,9;33;13,2;4,9;
2007-06-25;0;1024;,2;11,5;5,1;,6;72,9;39;6,4;1,7;
2007-06-26;,8;1020,4;3,9;9,2;5,7;1,2;88,5;69;3,8;,7;
2007-06-27;4,4;1018,1;7,4;11,8;8,8;5,2;91;76;6,5;2;
2007-06-28;4;1019,9;6,3;15,9;9;3,8;84,7;57;5,4;1,4;
2007-06-29;0;1018,6;6,7;16,1;9,4;4,1;84;61;11,5;3,3;
2007-06-30;,2;1020,4;6,3;13,3;8,8;5,3;85,6;56;7,5;2,4;
2007-07-01;,2;1022,8;4;12,8;6,6;1,8;85,3;57;4,6;,9;
2007-07-02;0;1021,6;4,6;12,9;6,5;1,2;88,3;65;5,8;,7;
2007-07-03;,2;1014,5;7,6;15,7;9,7;3,6;87,5;67;6,4;1,7;
2007-07-04;0;1007,3;12,7;20,6;15,7;8,2;82,8;69;4,7;1,7;
2007-07-05;0;1004,3;13,3;25,9;20,5;14,8;64,9;45;11;2,5;
2007-07-06;0;1004,1;14;22,1;18,2;17,2;77,1;61;7,7;2,6;
2007-07-07;2;1011,1;8,7;12,7;10,6;9,7;88,5;75;6,8;1,3;
2007-07-08;18,8;1017,7;5,8;11,3;9,9;9;76,2;62;10,9;3,6;
2007-07-09;,6;1020,2;6,5;10,2;9;8,1;84,6;70;9,8;2,9;
2007-07-10;14,2;1015,7;6,6;9,6;7,3;7;95,4;90;12,7;5,2;
2007-07-11;5,2;1020,7;,2;9,6;4,1;-,3;77,1;51;11,4;3,7;
2007-07-12;null;null;null;null;null;null;69,9;50;5,3;null;
2007-07-13;0;1016,5;6,2;11,9;7,1;-,3;94,2;75;9,3;1,7;
2007-07-14;3,6;1009,6;9;13,9;10,9;2,7;88,9;64;14,8;4,2;
2007-07-15;0;1013,3;3,7;13,3;8,1;4,1;75;51;12,7;4,8;
2007-07-16;0;1014,5;3,3;16,1;8,1;1,5;74,6;41;5,5;1,9;
2007-07-17;0;1013,1;5,6;14,4;8,1;1,4;85,1;61;8,2;1,6;
2007-07-18;0;1013,2;6;16,1;9,2;3,4;82,1;52;5,4;1,7;
2007-07-19;0;1010,1;6,1;18,9;11,6;6,5;70,4;46;11,3;3,3;
2007-07-20;0;1009,4;6,8;19,4;13,5;9,2;66;34;9,9;3,1;
2007-07-21;0;1011,3;4,7;14,6;8,9;3,1;76,1;42;10,8;1,6;
2007-07-22;,8;1000,4;11,5;18,3;13,1;7,5;90,2;73;17,8;3,9;
2007-07-23;3,6;1005,9;1;13;7,5;4;66,2;34;19,1;7,1;
2007-07-24;0;1012;1,9;13,5;7,5;3,2;68,7;45;9,6;2,3;
2007-07-25;0;1013,1;1,9;11,5;7,4;2,1;71,2;36;12,9;4,1;
2007-07-26;,6;1015,2;3,5;14,4;8,1;2,6;75,4;44;12;4,1;
2007-07-27;0;1020,8;3;11,8;8;4,5;70,9;53;12;4,4;
2007-07-28;0;1031,5;,6;10,2;4,7;-,4;76,3;50;10,7;3,1;
2007-07-29;0;1030,6;,7;10,8;3,3;-2,4;84,4;55;3,9;,9;
2007-07-30;,2;1023,9;4,2;15;6,4;-2,6;87,2;62;9,7;2;
2007-07-31;,4;1016,6;6,4;17,6;9,2;2;85,3;41;6,1;1,6;
2007-08-01;,2;1014,2;7,4;17,1;8,9;1,9;90,9;59;7,3;1,6;
2007-08-02;0;1021,9;7,7;12,6;9,8;4,3;87,4;73;10;3,4;
2007-08-03;8,2;1017,3;10,1;13,1;11;8,9;94,5;80;13,1;3,6;
2007-08-04;6,6;1016,1;7,2;13,2;9,8;8,9;83,8;70;15,2;6,7;
2007-08-05;0;1021,2;5,8;9,8;8,3;6,8;84,5;77;7,9;2,4;
2007-08-06;2;1010,8;9,4;12,3;10,4;7,2;93,4;87;11,7;3,6;
2007-08-07;6;1011;6;13,4;9,5;7,1;79,9;50;13,8;4,7;
2007-08-08;0;1015;4,5;17,2;10,4;4,1;68,7;36;11,6;3,1;
2007-08-09;,6;1010,7;12;20,5;13,4;9;91,9;71;15,4;3,5;
2007-08-10;18;1008,1;10,1;14,8;11,5;12,1;91;76;15,3;4,9;
2007-08-11;9,8;1021,5;2;13,4;7,8;2,5;68,4;39;13,4;4;
2007-08-12;0;1020,1;5;15;8,6;1,9;78,4;61;13,1;3,4;
2007-08-13;0;1010,9;12,8;21,2;15,2;7,8;86,2;66;14,7;3,5;
2007-08-14;0;1007;15;28;20,5;13,5;72,4;47;9,6;2,7;
2007-08-15;0;1009,9;13,4;23,8;17,7;18,9;76,5;58;11,6;3,3;
2007-08-16;,4;1024,5;8,2;11,8;9,4;9;92,2;86;10,1;3,8;
2007-08-17;12,6;1027,4;5,5;8,6;7,4;6,5;87,5;80;10;2,9;
2007-08-18;24,6;1024;7,9;13,1;9,8;6,9;88,5;70;9,5;2,5;
2007-08-19;10,2;1019,1;9,2;10,9;10,1;9,5;94;86;12,5;3,7;
2007-08-20;40;1018,6;7,4;13,2;9,8;8,6;85,7;64;12,7;6,3;
2007-08-21;0;1022,2;5,8;12,5;7,4;4;90;67;5,7;1,4;
2007-08-22;0;1016,9;8,1;14,5;10,4;6,2;86;72;11,3;3,6;
2007-08-23;0;1007,4;10,3;17,4;11,6;7;92,2;75;7;1,4;
2007-08-24;9,8;1010,4;9,2;13,1;9,8;7,6;95,8;86;10,1;2,3;
2007-08-25;16,8;1012,4;10,1;15;11,5;8,8;91,5;80;12,2;3,4;
2007-08-26;6,8;1008,2;10,1;12,3;10,9;11;94,5;91;12,7;3,9;
2007-08-27;24;1013,9;7,8;12,1;9,6;7,9;89,3;73;8,8;3,6;
2007-08-28;,4;1018,4;5,8;18,1;10,4;4,6;75,8;42;8,7;2,4;
2007-08-29;0;1026,1;5,9;13,3;9,4;4,4;79,9;55;8,6;2,5;
2007-08-30;0;1028,2;7,1;15,8;10,7;5,3;79,8;59;10,4;2,6;
2007-08-31;0;1021;11,9;14,6;13,1;11,2;92,3;79;10;2,8;
2007-09-01;1,8;1020,4;12,8;17,2;13,7;10,9;94,2;80;7,8;1,9;
2007-09-02;1,6;1020,1;14,5;18,3;15,1;13,1;95,7;85;9,6;3;
2007-09-03;1,2;1015,2;15,8;21;17,4;14,5;90,2;77;13,7;5,1;
2007-09-04;,2;1010,3;17;32,1;22,6;15,6;73,5;36;11,3;3,3;
2007-09-05;,4;1015,2;16,5;24,1;18,2;15;89,7;58;13,2;2,6;
2007-09-06;,8;1016,2;16,6;27,1;20,6;15;79;56;8,7;1,9;
2007-09-07;0;1014,6;17,4;29,4;21,1;15,3;81;49;6,9;1,5;
2007-09-08;0;1013,1;17,2;23,8;19;15;89,8;72;7,9;2,4;
2007-09-09;,2;1010,9;18,1;28,6;20,7;15,7;86,4;63;7,1;2,6;
2007-09-10;0;1009,3;19,7;31;23,3;17,2;81,5;56;7,6;2,6;
2007-09-11;0;1010,7;17,9;25,9;19,7;15,3;89,8;69;7,2;1,7;
2007-09-12;0;1014,8;15,6;21,1;17,2;14,6;90,6;72;7,8;2,7;
2007-09-13;0;1012,5;16;20,3;16,9;15,1;94,6;80;8,3;2,1;
2007-09-14;1,6;1010;16,3;22,5;18,5;15,9;87,3;69;13;2,6;
2007-09-15;1,4;1014,4;15,9;20;17,3;15,4;91,8;84;8,5;2,1;
2007-09-16;24;1017,8;13,8;16,9;15,5;14,2;90,1;80;18,3;4,1;
2007-09-17;,4;1020,7;10,6;18,1;15,3;13;74;55;13,8;4,6;
2007-09-18;18,6;1008;14,4;19,1;16,3;14,4;88,4;73;20,2;6,1;
2007-09-19;5,8;1009,7;10,9;18,6;15,1;12,3;76,8;58;14,6;5,8;
2007-09-20;0;1012,4;9,7;15,7;12;7,7;86,8;72;7,4;1,7;
2007-09-21;0;1012,5;10,7;16,5;12,7;10;87,8;77;8,1;2,4;
2007-09-22;,2;1013,5;11,7;15,7;13,6;10,3;88,9;79;9,2;2,5;
2007-09-23;8;1008,7;12,8;14,8;13,5;12,8;95,5;90;15;4,8;
2007-09-24;25,8;1018;5,3;14;9,5;5,8;75,8;53;18,5;7,4;
2007-09-25;,2;1026;5,1;14,6;8,7;3,2;79,9;52;7,4;2,5;
2007-09-26;0;1023,9;8,6;19,7;12,1;4,9;81,3;48;14,7;3,1;
2007-09-27;0;1014,7;13,7;22;16,8;12,3;82,9;59;9;3,3;
2007-09-28;1,8;1017;12,6;23;16,1;12;82,3;47;7;2,2;
2007-09-29;0;1020,9;11,2;22,6;16,3;10,5;74,7;31;9;1,9;
2007-09-30;0;1020,5;12;22,1;15,9;11;79,8;46;13,2;4;
2007-10-01;0;1016;14,3;22,8;18,1;14,9;79,5;58;16,5;5,5;
2007-10-02;0;1014;15,3;24,9;19,3;15,1;78,5;56;15,6;4,1;
2007-10-03;0;1010,2;17;23,7;19,4;15,1;86,5;74;15,6;2,5;
2007-10-04;14,6;1008,2;18,2;24,4;20,6;17,7;86,8;68;16,5;3,4;
2007-10-05;0;1006,4;17,8;21,2;19,1;17,6;92,4;81;13,6;3,3;
2007-10-06;44,2;1006,7;17,4;20,7;18,4;17,6;93,9;79;17,7;3,2;
2007-10-07;5,8;1017,6;9,4;18,8;14,2;9,9;73,9;51;14,7;3,9;
2007-10-08;0;1019,8;11;19,3;14,9;11,2;77,8;65;13,3;4;
2007-10-09;0;1008,7;17,8;29;20,8;15,9;84,4;56;22,5;3,3;
2007-10-10;38;1008,3;16,3;22,3;18,9;15,2;85,4;64;10,3;3,3;
2007-10-11;0;1013,8;12,7;18;15,3;13,6;85,1;74;12,8;3,8;
2007-10-12;30,8;1003,1;14,7;17,6;15,7;14,4;94,2;89;14,9;4,3;
2007-10-13;16,6;1008;11,4;18,9;14,6;11,9;82;61;14;5,1;
2007-10-14;0;1017,4;11,3;19,4;14,3;8,3;83,5;63;12,2;2,2;
2007-10-15;0;1015,4;14,1;18,4;16,1;14,3;88,4;79;14,2;4,1;
2007-10-16;3,2;1008,3;16,2;22,4;18,2;15,7;88,5;70;12,9;4,7;
2007-10-17;,6;1011,2;14,7;24,8;18,6;14,5;80,2;45;9,3;2;
2007-10-18;0;1011,2;14,7;26,4;20,1;13,7;74;39;7,2;1,7;
2007-10-19;0;1010;16;26,4;19,9;13,7;80,6;50;9,3;2,7;
2007-10-20;0;1004,6;18,7;26,2;21,4;17;85,7;69;8,7;1,9;
2007-10-21;0;1009,7;11,6;23,1;18,9;13,8;67,3;30;6,6;2,1;
2007-10-22;0;1016;9,3;24,6;18;10,5;61,5;27;7,8;1,8;
2007-10-23;0;1020,1;12,8;24,3;18,9;14,8;69,6;38;11;2,7;
2007-10-24;0;1018,8;14,5;24,4;19,1;14,7;76,5;53;14,8;4,4;
2007-10-25;0;1008,5;16,4;29,8;21,9;15,3;72,9;48;12,6;3,7;
2007-10-26;6,2;1005,1;15,1;27,8;21,8;15,8;69,5;33;8,9;2,3;
2007-10-27;11,8;1005,6;15,3;25,4;20,1;16,1;75,5;41;16,7;3,8;
2007-10-28;0;1007,3;13,4;22,9;17,6;11,9;78,3;49;12,9;2,1;
2007-10-29;0;1007,4;16,7;22,9;18,7;15,9;88,2;67;5,7;1,2;
2007-10-30;0;1009;17,8;22,4;19,6;16,3;89,4;80;9,4;2,3;
2007-10-31;0;1001,3;19,1;27,8;21,5;18;87,1;58;10,1;2;
2007-11-01;11,2;1003;11,8;21,6;17,4;13,9;71,3;43;14,6;4;
2007-11-02;0;1005,6;10,3;23,4;16,5;9,6;68,7;43;7,4;1,7;
2007-11-03;0;1001,8;12,6;26,4;19,9;14,9;65,5;36;20;4,8;
2007-11-04;2,2;1009,7;5,3;20,3;13,2;8,5;61,6;34;20;5,8;
2007-11-05;0;1013,5;5,3;21,1;13,4;4,8;61,7;31;8,3;1,6;
2007-11-06;0;1012,8;10,3;27,3;18,6;9,8;62,4;33;7,5;2,1;
2007-11-07;0;1010,2;11;30,5;22,2;14;52,8;24;7;2;
2007-11-08;0;1005,7;16,7;30,5;21,6;14,3;75,3;33;9,6;2,5;
2007-11-09;8,8;996,5;18,3;21,3;19,7;18,1;92;81;15,3;3,6;
2007-11-10;9,2;995,5;14,9;19,9;17,8;16,8;83,5;63;13,3;5,1;
2007-11-11;0;1007,9;8,4;18,3;13,7;10,6;71,9;44;17,9;5,1;
2007-11-12;,2;1014,7;5,4;21,6;null;6,1;65;24;8,9;1,9;
2007-11-13;null;null;null;null;null;null;null;null;null;null;
