Nome: PASSO FUNDO
Codigo Estacao: A839
Latitude: -28.22666666
Longitude: -52.40361111
Altitude: 680.67
Situacao: Operante
Data Inicial: 2006-11-26
Data Final: 2025-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-26;null;null;null;null;null;null;null;null;null;null;
2006-11-27;null;null;null;null;null;null;null;61;15,7;null;
2006-11-28;null;930,6;18,1;27,4;20,5;17,4;86,8;59;10,3;3,7;
2006-11-29;,8;933,4;16;25,5;19,8;16,8;80,5;46;9,9;3,1;
2006-11-30;0;935,8;14,1;29,4;21,2;15,1;68,7;29;10,5;3,7;
2006-12-01;0;936,1;13,1;30,4;22,4;15,9;59,8;30;13,9;5,5;
2006-12-02;0;935,7;13;30,4;22,8;15,7;57,1;30;12;4,2;
2006-12-03;0;934,2;14,6;32;24,6;17,7;57,2;27;8,2;3;
2006-12-04;0;933,7;16,8;32,8;26;19,3;59,2;31;11;3,7;
2006-12-05;0;934,7;18,3;31,7;23;18,3;76,9;40;13,1;4,2;
2006-12-06;32,6;933,1;18,2;25,7;21;18,7;85,2;56;11,9;3,4;
2006-12-07;,4;932,6;14,6;27,7;20,3;15,6;72,3;37;10,4;3,9;
2006-12-08;0;931,2;15,7;29,3;21,7;15,8;70,7;43;13;4,1;
2006-12-09;0;932,3;17,2;29,5;23,2;18;72,2;32;8,3;3,5;
2006-12-10;1,2;934,4;13,9;29,5;23;17,6;61,7;24;9,6;3,2;
2006-12-11;0;935,8;14,3;31,1;23,5;17,3;61;25;9,5;3,4;
2006-12-12;0;936,1;14,7;31,2;24,1;18;59,1;31;12,3;4,4;
2006-12-13;0;935,2;13,9;30,7;23,3;17;59,2;27;13,7;4;
2006-12-14;0;933,4;16,1;33,2;25,8;19,4;58,7;32;11,5;3,6;
2006-12-15;,2;934,7;17,2;33,4;25,8;18,7;62,5;32;14,5;2,9;
2006-12-16;0;934,2;16,9;35,5;28;21,2;56,5;21;8,1;2,9;
2006-12-17;0;933,4;18,6;35,4;27,7;21,1;61,5;27;9,4;3,1;
2006-12-18;0;933;19,7;33,9;25,8;23,2;71,7;35;18,2;3,7;
2006-12-19;9,8;932,3;19,8;30;22,5;17,9;84,9;58;11,1;3,7;
2006-12-20;,4;929,8;19,8;29;22,4;19,5;86,2;64;18,3;6;
2006-12-21;3,6;933,2;18,3;27,5;21,9;17,8;81,6;58;7,3;1,8;
2006-12-22;0;935,7;19,2;30;23,2;18,5;79,7;53;15,5;2;
2006-12-23;4,6;null;null;26,8;null;18,2;85,5;70;10,3;null;
2006-12-24;null;931,5;17,9;22,4;19,6;18,5;89,9;74;17,8;5;
2006-12-25;null;null;null;null;null;17,1;null;78;6,4;null;
2006-12-26;null;null;null;null;null;null;61,9;42;8;null;
2006-12-27;0;936,4;13,5;28,4;21,3;14;63,9;37;9,8;2,5;
2006-12-28;0;938,4;16,5;30,4;23,8;17,6;66;39;9,2;3,1;
2006-12-29;0;939,1;18,3;29;24;19,6;71,3;53;11;4;
2006-12-30;0;938,9;17,4;30,5;24,3;18,8;67,5;41;8,1;3,2;
2006-12-31;0;937,8;17,7;30,5;25;19,9;65,8;40;10;3,6;
2007-01-01;,2;935,4;17,5;30,4;24,2;18;68,3;42;12,3;4,2;
2007-01-02;0;934,5;18,8;29,5;23,5;18,4;76;53;10,4;3,7;
2007-01-03;1,8;933,8;20,6;29,1;22,6;20,6;89;58;10,9;2,9;
2007-01-04;34,4;930,8;20,3;27;21,4;19,2;93,9;72;11,9;2,9;
2007-01-05;89,6;928,8;20,8;28,3;23,5;20,3;85,8;62;11,3;3,2;
2007-01-06;,4;933;18,3;26,5;22;18,5;80,6;60;11,1;4,8;
2007-01-07;0;936,3;16,2;27,8;21,4;15,7;73,3;55;13;4,2;
2007-01-08;0;936,1;18,1;27;22,1;18,2;79;62;10;3,8;
2007-01-09;0;934,8;18,9;30,9;23,7;18;76,5;45;9,1;3;
2007-01-10;0;933,8;20,1;31,1;25;19,5;75,6;49;10,4;3,2;
2007-01-11;1,2;932,8;21,3;26,7;23,4;20,9;88,3;73;12,2;3,3;
2007-01-12;17,6;930,7;20,4;26,4;21,8;19,2;92,3;71;14;3;
2007-01-13;6;929,8;15,7;28,2;22,5;15,9;70,5;28;6,9;1,9;
2007-01-14;0;932;16,4;25,5;20,8;16,2;76,5;52;10;3;
2007-01-15;0;934,5;14,5;25,5;19,3;14,3;76,1;35;9,6;3,1;
2007-01-16;0;937,2;12,9;26,8;20,1;13,8;63,5;47;14,9;4,6;
2007-01-17;0;934;17,5;22,8;19,9;18;86;75;8,5;3,6;
2007-01-18;10,2;930,8;18,3;26,6;20,7;16,8;87,3;58;13,1;3,3;
2007-01-19;3,8;933;17,4;29,2;21,5;16,1;80,6;34;8,7;2;
2007-01-20;11;933,6;16,1;22,9;18,3;15,9;87,5;72;21,7;3,8;
2007-01-21;,2;938,2;15;23,4;18;13,6;83,6;68;13,6;4,4;
2007-01-22;0;936,4;17,2;26,8;21;16,2;79,9;56;12,3;4,1;
2007-01-23;0;934,8;18,4;29,1;22,7;18,1;77,8;49;9;3,5;
2007-01-24;0;935;19,1;29,8;23,7;18,4;76,9;48;7,9;2,9;
2007-01-25;0;934;18,6;30,7;25,2;20,1;69,2;37;7,6;2,7;
2007-01-26;,2;932,4;20,2;27,4;22,2;20,8;88,4;47;8,1;2,7;
2007-01-27;35,6;932,3;20,5;28,5;23,9;20;83,2;55;9;2,7;
2007-01-28;0;932,6;19,9;28,1;23,1;19,4;83,6;57;11,1;2;
2007-01-29;19;933,3;18,3;26,3;21,5;18,3;83,2;59;11;3,5;
2007-01-30;0;934,7;17,9;29,6;22,4;16,7;77,6;47;7,4;2,7;
2007-01-31;0;934,5;19,5;27,9;22,4;18,9;84,2;60;9,6;3,6;
2007-02-01;3,4;936,4;17,4;27,8;22,2;18,3;77,2;40;13,6;2,8;
2007-02-02;0;936,9;15;28,6;22,3;16;65,5;35;7,5;3,3;
2007-02-03;0;935;13,5;28,9;22,7;16,2;59;29;9,1;3,5;
2007-02-04;0;933,1;16,8;29,2;21,7;16,6;74,8;43;14;4,3;
2007-02-05;6,6;931,3;19;26,7;20,6;18,3;90,7;73;12,9;4,1;
2007-02-06;11,4;930;19,4;28,9;23;17,7;81,8;49;14,7;5,4;
2007-02-07;1,2;934,1;17,9;27,7;21,9;17,4;79,6;50;12;2,5;
2007-02-08;0;938,9;16,6;27,5;21,7;17;74,7;48;10,9;4,3;
2007-02-09;0;939,5;17,6;29;22,2;16,4;75,8;53;11,5;4,3;
2007-02-10;0;937,8;19,9;29,3;23,2;18,9;82,3;61;8,2;3,1;
2007-02-11;,8;938,2;16,5;24,9;21,2;18,3;76,1;48;13,6;4,4;
2007-02-12;0;937,5;13,3;25,9;18,7;12,9;72,7;35;11,3;4,1;
2007-02-13;0;935,5;14,8;27,4;20,3;14,6;72;46;11,2;3,5;
2007-02-14;0;934,1;16,2;28;20,8;16,1;76;47;9,6;3,3;
2007-02-15;0;932,9;16,9;27,1;20,8;16,3;79,3;52;9,7;3,1;
2007-02-16;5;931,5;17,5;29,7;23,1;17,3;72,4;46;10,4;3,2;
2007-02-17;,8;929,3;19,3;26,5;21,5;19,7;87,8;55;15,2;4,4;
2007-02-18;22,4;933,3;17;22,4;18,4;15,4;91,7;71;8,1;3;
2007-02-19;0;935,2;15;18,9;16,7;15;90,3;82;10;4,3;
2007-02-20;4,2;935;18,4;26,2;20,4;16,6;88,8;68;10,2;4,1;
2007-02-21;0;936;19,2;26;21,4;18,7;87,8;70;11,5;4,2;
2007-02-22;15;938,4;20,4;27,5;22,1;19,6;90,6;71;12,6;4,4;
2007-02-23;12;939,5;20,2;29,5;22,1;19,7;90;58;14,4;3,1;
2007-02-24;1,4;937,8;20,6;28,7;21,9;19,9;92,3;67;17,4;3,2;
2007-02-25;28,8;936,6;19,2;29,2;22,6;17,6;82,8;56;8,8;2,3;
2007-02-26;0;936,2;18,1;29,6;23,6;18,2;73,6;42;8,9;3,1;
2007-02-27;0;934,8;18,1;28,1;22,9;17,6;75,8;51;9,9;3,8;
2007-02-28;0;934,2;19,2;29,6;23,5;18,6;77,8;47;9,8;3;
2007-03-01;0;933,4;19,7;29,4;23,2;18,6;81,6;61;15,4;4,7;
2007-03-02;,2;936,2;20,1;27,3;22,4;20,6;87,5;69;14,5;3,8;
2007-03-03;9;939,2;19,6;28,2;21,4;18,9;89,9;61;10,4;2,9;
2007-03-04;4,6;938;20;29;23,4;19,3;82,5;55;11;4,1;
2007-03-05;0;937,8;20,4;28,9;23,2;20,4;84,6;63;10,3;2,3;
2007-03-06;0;939,4;19,3;31,4;23,8;19,5;77,6;44;13;2,7;
2007-03-07;0;940;18,8;30,1;23,3;18,3;77,1;51;8,9;3,4;
2007-03-08;0;936,1;18,8;29,1;23,4;18,6;76,8;52;12,8;4,8;
2007-03-09;0;933,9;18,4;29,6;21,6;19;82,9;54;19,7;3,9;
2007-03-10;15,8;935,6;17,5;21;18,5;16,9;93,9;81;7,8;1,9;
2007-03-11;12,6;936,8;17,4;26,6;20,3;16,2;84,5;56;6;1,8;
2007-03-12;0;936,5;18,5;27,8;20,3;16,9;89,5;62;17,9;3;
2007-03-13;59,6;937,2;18,7;28,5;22;17,4;83;56;8,5;2,6;
2007-03-14;0;935,6;16,9;29,5;21,9;15,8;75,5;45;7,6;2,4;
2007-03-15;0;933,7;19,6;26;22,1;19,6;85,9;62;12,6;3,2;
2007-03-16;0;935,5;18,7;26,8;21,8;17,7;83,3;56;9,6;2,3;
2007-03-17;11;935,2;16,7;20,3;18;16,8;92,6;82;13,7;4,4;
2007-03-18;53,2;933,6;16,2;23,7;18,7;16,1;86;54;9,9;2,1;
2007-03-19;,2;934,9;15,6;23;17,4;15,1;89,6;60;8,4;1,8;
2007-03-20;3,4;935,6;16,8;23,8;18,5;16,4;90,5;63;11;2,3;
2007-03-21;1,4;935,8;17,2;26,5;20,4;17,2;83,3;55;6,3;2,3;
2007-03-22;0;935,9;17,5;28,7;22;16,8;78;47;7,8;2,6;
2007-03-23;0;937,6;16,4;29,7;23,6;17,9;67;35;7,9;2,2;
2007-03-24;0;938,8;17,7;28;22,8;17,9;74,5;52;6;1,5;
2007-03-25;1;937,9;18,6;27,7;21,6;18,2;84;58;10;3;
2007-03-26;0;936,5;18,8;30,3;22,1;18,3;82,9;50;9,2;3,3;
2007-03-27;2,8;936,4;18,4;30,9;24,2;18,2;72,7;41;12,1;4,1;
2007-03-28;0;937,7;18,2;33,1;26;19,7;64,5;35;11,4;3,1;
2007-03-29;0;936,9;19,5;32;25,4;20,5;71,5;44;8,4;3;
2007-03-30;0;935;18,2;32,8;25,7;20,2;66,2;31;10,4;3,3;
2007-03-31;0;935,6;18;30,2;22,6;20;76,7;48;17,5;2,4;
2007-04-01;52,2;937,2;18,7;28,5;21,7;18,1;84,7;47;10,6;2,3;
2007-04-02;2,6;936,7;19;30,5;23,1;18,4;79,6;46;7,4;3,1;
2007-04-03;0;936,5;18,7;29,4;20,8;19,4;88,7;48;14;3;
2007-04-04;69,8;937;17,6;27;20,7;16,1;83,8;60;7,5;2,4;
2007-04-05;0;938,4;17,8;26,4;20,2;16,5;87;64;10,5;3,3;
2007-04-06;9,2;938,3;16,5;24,7;19,2;16,4;85,2;62;11,1;4,3;
2007-04-07;2,8;936,3;16,5;22,8;18,7;16,2;87,4;72;16,2;3,8;
2007-04-08;9,4;934,7;15,6;21,8;18,1;15,6;86;59;12,6;3,2;
2007-04-09;,4;936,1;14,3;22,8;17,7;14,7;81,9;55;8,7;2,5;
2007-04-10;0;936,1;13;26;18,3;12,1;74,2;40;8,8;3,4;
2007-04-11;0;936,8;14,1;28,2;20,3;14,4;69,9;38;12,8;3,6;
2007-04-12;4,6;939,6;16,6;20,7;18,5;17,4;88,9;70;6,4;2,3;
2007-04-13;,2;940,5;15,3;26,5;19,3;13,1;79,9;45;8,7;3,6;
2007-04-14;0;939,3;15,7;21,5;18;15,3;87,3;72;11,8;4,7;
2007-04-15;43,2;940;18,1;27,5;20,9;16;85;57;16,6;3,8;
2007-04-16;,2;940,3;18,8;28,8;22,3;17,3;82,8;49;9,1;1,8;
2007-04-17;0;938,4;17,5;29,9;22,8;17,7;74,7;43;9,3;2,9;
2007-04-18;0;938,6;16,1;29,7;23,1;17,9;68;33;9;2,9;
2007-04-19;0;939,6;16;28,5;21,9;16,4;71,5;44;12,2;4;
2007-04-20;0;940,3;15,8;29,2;22,2;17,3;70,3;39;9,3;3,3;
2007-04-21;0;939,3;14,9;29,4;22,8;17;63,7;34;8,2;2,4;
2007-04-22;0;938,3;14,1;29;22,1;16,8;62,8;34;7,3;2,5;
2007-04-23;0;936,9;15,1;29,8;22,1;16,1;66,3;43;11;3,2;
2007-04-24;0;935,2;17,4;27,2;20,9;18,1;81,5;59;11,4;3,7;
2007-04-25;7,2;933;17,7;19,6;18,4;17,9;95,5;90;9,1;3;
2007-04-26;10,8;932,9;15,1;18;15,7;15,7;95,8;89;13,2;3,2;
2007-04-27;2;943;6,2;16,1;10,7;6,3;75,6;43;9,3;3,2;
2007-04-28;0;945,1;6,9;20,9;12,5;6,4;71,7;38;12,6;3,6;
2007-04-29;0;942,7;10,5;23,7;16,3;10,7;72;36;7,5;2,9;
2007-04-30;0;939,6;9,4;24,3;16,8;10,6;65,1;27;7,7;2,7;
2007-05-01;0;937,6;13,9;27,4;18,5;12,8;75,8;52;9,1;3,4;
2007-05-02;0;938,3;16,5;20,7;17,7;15,9;92,6;81;23,5;3,2;
2007-05-03;35,4;940,7;15,3;22,5;17,6;13,3;87,1;70;10,5;3,3;
2007-05-04;0;939,2;15,8;26,2;19,8;15,7;78,8;55;12,5;5,1;
2007-05-05;0;937,5;14,9;27,9;20,1;14,8;75;40;11,5;4;
2007-05-06;0;934;15,2;26,9;20,7;15,9;72,6;44;18,5;4,5;
2007-05-07;53,4;934,6;14,8;18,6;15,3;15,6;96,8;89;9,9;3,8;
2007-05-08;21,4;940,2;6,7;12,5;9,4;7,9;84,4;59;9,8;3,9;
2007-05-09;0;947,2;3,2;12,2;6,8;2,3;78,6;60;10,7;4;
2007-05-10;0;946,1;6,2;18,6;11,4;4,7;73;44;16,6;4,9;
2007-05-11;0;942,8;9,2;21;14,9;10,6;70,5;38;9,7;2,8;
2007-05-12;0;943,1;9,4;20,6;15;10,3;71;49;6,6;1,8;
2007-05-13;,8;939,3;11,1;14,8;11,9;10,9;94,8;80;10,3;3,8;
2007-05-14;33;939,4;10,5;13,9;11,4;9,3;94,7;81;7,5;2,8;
2007-05-15;,2;938;11,7;22,3;15,2;9,8;81,3;49;11,4;4,1;
2007-05-16;7,8;933,5;14,9;18,4;16;13,4;93,5;75;10,8;3,9;
2007-05-17;48,4;937,2;9,5;13,9;11;9,7;91,1;75;11,6;4,4;
2007-05-18;1,2;939,8;9,3;11,2;9,9;8,6;96,1;87;9;3,5;
2007-05-19;0;941,3;9,9;18,3;12;9,1;87,7;61;8,9;3,8;
2007-05-20;0;938,7;12,7;21,1;15,3;10;85,2;66;10,1;4,5;
2007-05-21;39,6;934,2;14,3;18,9;15,5;13,5;92,9;78;12,8;5,4;
2007-05-22;2;932,2;13,7;18,3;15,3;13,6;90,2;73;19,1;2,4;
2007-05-23;3;935,1;8,3;14,6;10,6;8,6;86,4;62;11,9;4,2;
2007-05-24;,2;942,1;2,8;10,6;6,2;3,6;80,5;53;8,7;2,2;
2007-05-25;0;942,2;2,9;16,9;8,1;1,2;73,1;33;10,1;2,4;
2007-05-26;0;938,8;5,2;18,4;11,1;4,6;69,3;36;6,6;2,1;
2007-05-27;0;937,4;7,3;17,8;12;6,8;73,9;46;9;1,7;
2007-05-28;0;939;7;12,7;9,2;7,5;86,8;66;8,1;2,3;
2007-05-29;0;943,9;-,9;6,5;2,6;-,8;78,7;55;9;2,7;
2007-05-30;0;946,1;2,9;12;5,7;,5;83;59;9,2;2,8;
2007-05-31;0;941,3;5,5;16,9;9,9;4,3;75,6;47;12,8;4,2;
2007-06-01;0;935,7;10,1;14;12;8,4;88,8;71;10,4;3,1;
2007-06-02;15,8;938,4;5,5;11,7;7,9;3,8;86;50;8,4;1,8;
2007-06-03;0;940,2;3;14,7;8,1;2,9;72,5;41;12,6;3,6;
2007-06-04;0;941,5;2,9;16,9;9,3;2,9;68,3;29;6;1,6;
2007-06-05;0;940,7;4,3;19,6;11,5;5,1;65,3;29;6,1;2,1;
2007-06-06;0;938,1;5,8;21,1;13,1;7,1;64;22;7,7;3,5;
2007-06-07;0;936,9;11,7;21,2;16,4;9,8;74,4;62;5,9;2,3;
2007-06-08;,6;937,9;15,7;20,6;16,5;13,5;95,5;82;7,6;2,8;
2007-06-09;2,8;936;15,8;24,5;19,7;14,9;79,6;56;17;4,6;
2007-06-10;0;935,8;14,5;26,8;20,5;17,5;69;47;16,1;5,2;
2007-06-11;0;935,8;14;25,1;20,4;17,1;67,7;48;17,2;5,8;
2007-06-12;0;936,4;12,9;24,7;18,9;14,5;69,7;46;8,7;3,9;
2007-06-13;0;933,8;13,3;25;19,3;15,8;68,8;50;17,8;6;
2007-06-14;0;933,7;12;25,4;20,2;16,6;59,8;41;12,5;5,1;
2007-06-15;0;932,6;12,4;20,5;16,9;17;76,4;60;17,6;7,2;
2007-06-16;16,6;941,3;5,3;10,5;6,8;4,2;91,1;69;11,7;2,4;
2007-06-17;0;938,7;8,5;15,4;10,8;4,2;85,8;75;9,2;3,4;
2007-06-18;,6;940,5;12,4;16,1;13,6;10;92,7;78;7,2;2;
2007-06-19;0;938,9;14,6;25,2;18,2;11,7;81,7;48;9,9;4,4;
2007-06-20;0;938,4;13,9;26,4;19,9;15,5;70,6;42;13,7;5,3;
2007-06-21;0;939,8;13;25,7;19,5;15,9;67,3;43;9,6;4,3;
2007-06-22;0;937;12,9;24,4;18,7;14,6;70,5;44;14,2;5,1;
2007-06-23;0;933,8;12,2;22,7;18,5;16,2;67,9;50;16,9;6,1;
2007-06-24;7,4;942,3;6,7;14,1;10;8,5;81,2;52;10,5;2,2;
2007-06-25;0;945;3;13;7,5;1,3;74,1;37;7,9;3,5;
2007-06-26;5;941,3;12,2;16,3;13,2;4,6;93,6;85;9,8;3,6;
2007-06-27;5,2;940,2;10,4;14,4;10,7;10,3;97,8;92;8,3;2,8;
2007-06-28;1;942,8;7,5;11,3;8,7;6,8;92,4;77;5;1,4;
2007-06-29;0;943,6;7,3;13,5;8,9;5,5;89,7;74;6,6;2,2;
2007-06-30;,2;944,1;7,5;15,3;9,2;3,4;90,4;62;4,9;1,6;
2007-07-01;,2;945,2;6,6;17;8,7;3,2;88,3;56;5,6;2,5;
2007-07-02;0;943,8;8,1;20,8;12,4;5,1;76,7;46;9;2,8;
2007-07-03;0;940,7;9,6;21,4;14,5;8,8;74,4;45;7,1;2,4;
2007-07-04;0;938,3;10,8;25;17,3;11,8;67,4;39;14,1;4,4;
2007-07-05;0;937;9,7;26,4;18,5;12,9;59,3;31;15,8;5,7;
2007-07-06;0;935,1;11,2;21,6;18,9;14,3;61,4;47;17,1;5,3;
2007-07-07;1;933,5;11,9;22,4;19,5;17,2;61,5;49;10,9;4,8;
2007-07-08;32,6;935,2;12,1;20,6;14;12;89,8;58;11,4;4,6;
2007-07-09;14,6;937,5;12,2;15,8;12,6;10,7;98;96;10,6;4,9;
2007-07-10;107,6;937,2;10,3;14,8;null;10,2;97,4;91;11,5;5,6;
2007-07-11;null;null;null;null;null;null;75,3;63;6,4;null;
2007-07-12;null;null;null;null;null;null;89,6;80;9,8;null;
2007-07-13;12,4;938,2;10,9;16,6;11,8;6,2;94,2;82;8,4;3;
2007-07-14;14;936,5;12,6;17,8;13,7;10,1;93,1;80;11;2,9;
2007-07-15;,2;939,2;3,3;12,7;7,6;3;77,6;37;5,8;1,4;
2007-07-16;,2;936,9;4,9;16,3;8,9;2,6;76,8;59;9,5;3;
2007-07-17;0;934;11,1;13,6;11,6;7,2;97;87;10,7;3,5;
2007-07-18;7,6;935,5;9,1;13,3;10,3;9,1;92,5;72;8;2,6;
2007-07-19;,4;938,5;6,1;15,5;8,1;2,2;88,8;58;7,5;1,8;
2007-07-20;0;937,3;7,1;18,3;11,8;4,6;74,2;50;14,4;4,1;
2007-07-21;0;935,1;8,7;16,2;11,8;8;81,9;60;10,2;3,4;
2007-07-22;24,4;927,5;13;15,5;13,9;10,5;95;83;18,1;5,1;
2007-07-23;43,4;934,9;2,1;14,8;7;3,7;74,3;35;14,2;3;
2007-07-24;0;935,5;2,1;13,2;6,6;,8;73,5;56;9,6;3;
2007-07-25;0;936,7;2,2;10,5;6,2;2;76,7;47;13,3;3,5;
2007-07-26;0;943,3;,2;12,3;5,6;-,2;70;44;11,6;4;
2007-07-27;0;944,8;3,2;15,3;8,4;2,2;71,3;44;5,7;1,8;
2007-07-28;0;949,8;1,1;10,4;6,3;4,1;72,2;36;9,3;4,2;
2007-07-29;0;949,1;-2,1;13,4;5,2;-1,7;61,5;33;13,1;4,9;
2007-07-30;0;944,3;3,7;15,8;9,3;4;68,9;48;14,7;5,3;
2007-07-31;0;940,6;7,4;18,5;11,1;4,8;80;53;7,4;2,8;
2007-08-01;0;938,5;9,9;22,7;14,1;8,2;78,1;43;10,3;3,6;
2007-08-02;10;940,4;12,4;18,3;13,7;10,8;92,3;69;8,5;3;
2007-08-03;38,4;940,1;14,6;21,1;16,3;11,1;90,2;69;12,5;5,3;
2007-08-04;,2;942,6;9,1;13,5;9,3;8,8;99,3;95;7;2,5;
2007-08-05;1,4;941,9;6,8;18;10;4,9;82,8;54;9,9;3,7;
2007-08-06;0;936,4;12,2;19,9;14,8;5,5;85;68;13,6;5,7;
2007-08-07;14,2;938,6;6,5;15;9,2;5,9;84,3;59;14,2;3,7;
2007-08-08;,2;938,9;6;20,2;10,6;3,4;75,6;50;11,8;4,2;
2007-08-09;0;938,3;12,4;22,7;16,5;7,2;77,9;60;12,7;6;
2007-08-10;0;937,8;11,9;21,9;15,1;14,7;82,1;54;16,9;5,7;
2007-08-11;1;945,4;4,5;14,2;7,6;2,7;82,9;46;9,8;2,4;
2007-08-12;0;942,5;10,6;21,6;14,1;3,6;80,3;65;12,7;5,9;
2007-08-13;0;940,1;12,3;24,8;16,5;11;78;51;14,5;6;
2007-08-14;0;938,4;13,8;24,6;18;14;77,9;52;11,9;5,1;
2007-08-15;0;938,8;11,7;27,5;19,8;14,2;62,3;32;13,9;5,4;
2007-08-16;0;941,9;11,5;24;16;13,4;75,7;49;14,4;4,8;
2007-08-17;0;942;11;20,6;13,8;10,5;84,2;61;13,1;5,3;
2007-08-18;0;941,3;9,6;12,1;10,2;8,8;96,1;87;11;3,6;
2007-08-19;0;939,5;11,6;22,1;13,6;9,5;88,8;59;12,7;5;
2007-08-20;4,6;942,8;6;11,3;7,7;5,6;89,5;71;13,7;3,9;
2007-08-21;0;943;3,1;17,4;9,1;3,5;71,7;25;10,8;4;
2007-08-22;0;939,5;9,1;23,1;14;5,5;72,8;50;10;4,3;
2007-08-23;0;935,4;12,3;28,2;19,6;11,1;66,2;33;11;4,9;
2007-08-24;0;932,2;10,8;27,3;19,3;15,4;60,6;32;20,2;6,5;
2007-08-25;0;930,7;11,5;18,2;13,8;11,4;86,3;71;13,9;5,4;
2007-08-26;22,6;932,2;12,6;15,1;13;12,4;97,3;92;11,6;3,7;
2007-08-27;8,6;939,4;4,6;10,8;7,9;6;80,9;53;10,1;4;
2007-08-28;,2;942,1;2,6;15,9;8;1,7;72,9;29;8,7;2,4;
2007-08-29;0;944,9;5,4;17,6;10,2;3,9;74,5;39;13;4,5;
2007-08-30;0;945,9;8,8;18,9;12,3;6,9;79,5;63;12,7;5,9;
2007-08-31;5,6;943;11,4;14,8;12,3;10,4;94,3;77;14,6;4;
2007-09-01;,2;942,2;11,6;18,9;13,5;9,7;89,3;64;7,4;2,5;
2007-09-02;13,4;941,1;13,2;22,4;16;10,1;84;64;21,5;4;
2007-09-03;0;940,2;14,4;27,5;19,5;13,3;74,8;41;10;4,2;
2007-09-04;0;940,5;14,6;29,1;21,5;16,2;67,2;35;11,1;4,5;
2007-09-05;0;942,3;15,7;28;21,9;16,7;69,5;41;10,8;3,8;
2007-09-06;0;942,8;15,6;27,5;21,7;17;69,4;45;8,2;3;
2007-09-07;0;941,7;15,2;28,5;21,7;16,6;68,9;35;8,6;3;
2007-09-08;0;940;12,8;28,8;22,4;16,3;56,8;31;8,7;3,4;
2007-09-09;0;939,2;12;28,8;22,1;16,6;54,9;28;9,9;4,5;
2007-09-10;0;938,5;11,5;28;20,8;15,4;57;30;10,7;4,6;
2007-09-11;0;938,9;13;27,4;20,3;14,3;65,6;39;11,6;4,7;
2007-09-12;0;940,1;14,7;27,7;20,7;15,3;70,1;42;10,9;3,6;
2007-09-13;0;938;12,7;26,2;20,2;14,8;63,4;41;11,3;4,5;
2007-09-14;0;936,6;13,2;29,9;21;14,8;63,8;31;10,9;4,7;
2007-09-15;,2;938,3;16,1;26,5;20,4;15,4;78;48;9,5;2,7;
2007-09-16;0;938,9;15,8;23,7;18,5;15,8;85,6;63;10,9;3,2;
2007-09-17;0;940;13,8;20,5;17,1;14,6;81,6;68;14,8;6,4;
2007-09-18;2,6;936,2;13,4;17,1;15;13,6;90,3;79;18,4;5,5;
2007-09-19;22,4;937,6;12,5;22,1;16,2;11,7;81,4;40;9,4;2,3;
2007-09-20;3;934,8;13,7;21;16,2;13,1;85;71;18,9;3,5;
2007-09-21;9,8;934,8;15,7;18,9;16,7;14,7;93,8;87;17;5,4;
2007-09-22;null;null;null;null;null;15,9;null;85;13,8;null;
2007-09-23;null;null;null;null;null;null;null;98;5,7;null;
2007-09-24;null;null;null;null;null;null;55,4;27;15,3;null;
2007-09-25;0;946,3;3,4;16;9;2,9;69,6;44;10,4;3,6;
2007-09-26;0;943,7;8,5;15,1;12,2;7,5;78,1;71;15,3;6,2;
2007-09-27;7,4;940,1;13,3;20,2;15;12,2;89,3;76;18,8;4,2;
2007-09-28;,2;941,2;12,8;22,8;16,6;11,9;81,5;35;8;2,1;
2007-09-29;0;943,2;9,7;25,1;17,7;12,1;64,9;23;11,1;5,3;
2007-09-30;0;942,7;10,8;24,5;17,6;12,2;66,9;33;12,3;5,1;
2007-10-01;0;940,8;10,2;24,2;16,8;10,7;67,1;35;13,4;6;
2007-10-02;0;940,4;11,3;26,7;18,5;11,7;65,3;40;13,5;6;
2007-10-03;0;938,5;14,5;23,6;18,5;14,2;77,8;53;15;5,2;
2007-10-04;2,8;936,5;15;20,8;18,1;16,1;82,8;71;15,7;5,5;
2007-10-05;9,6;934,4;15,7;26,8;20,8;16,2;74;48;14,5;4,5;
2007-10-06;0;933,7;15,8;29,1;20,2;15,3;77,9;41;13;5,3;
2007-10-07;15,4;938,2;16,8;21,7;18,3;16,9;91,1;76;11,8;3,7;
2007-10-08;,4;939,5;16,3;22,5;18,6;15,3;87,3;70;11,1;4,6;
2007-10-09;0;936,7;16,6;27,6;21,2;16,9;76,2;56;13,8;5,5;
2007-10-10;6;936,8;17,1;23,2;18,6;17,8;91,2;75;12,2;3,6;
